region,district,campaign,TOTAL_AGE_0_4
##Province,District,campaign,TOTAL_AGE_0_4
##Code of Region,Code of District,UUID of Campaign,Number
1,101,,1032678
1,102,,46019
1,103,,41261
1,104,,67281
1,105,,30203
1,106,,8680
1,107,,116750
1,108,,34676
1,109,,9905
1,110,,17370
1,111,,11166
1,112,,5869
1,113,,25557
1,114,,9790
1,115,,9065
2,201,,31760
2,202,,31680
2,203,,6583
2,204,,14967
2,205,,26842
2,206,,12666
2,207,,14279
3,301,,46587
3,302,,15362
3,303,,16676
3,304,,30714
3,305,,10389
3,306,,5638
3,307,,23299
3,308,,9140
3,309,,5556
3,310,,6597
4,401,,13731
4,402,,11672
4,403,,17932
4,404,,8975
4,405,,10055
4,406,,26151
4,407,,36598
4,408,,16336
4,409,,13017
5,501,,48546
5,502,,10770
5,503,,31913
5,504,,30097
5,505,,14076
5,506,,12604
5,507,,8468
8,801,,2581
8,802,,2048
8,803,,3144
8,804,,5403
8,805,,5816
8,806,,5346
8,807,,3446
10,1001,,25394
10,1002,,5114
10,1003,,18457
10,1004,,8095
10,1005,,4464
10,1006,,14756
10,1007,,15514
22,2201,,13167
22,2202,,12697
22,2203,,7106
22,2204,,16899
22,2205,,10124
22,2206,,10801
22,2207,,10455
22,2208,,11535
22,2209,,19351
6,601,,83141
6,602,,150957
6,603,,102319
6,604,,59755
6,605,,43145
6,606,,35162
6,607,,36434
6,608,,30211
6,609,,12573
6,610,,13034
6,611,,23456
6,612,,19325
6,613,,10313
6,614,,17975
6,615,,40085
6,616,,14463
6,617,,37357
6,618,,39722
6,619,,34401
6,620,,11216
6,621,,10799
6,622,,9838
7,701,,77799
7,702,,25899
7,703,,42603
7,704,,36830
7,705,,18282
13,1301,,24465
13,1302,,11503
13,1303,,15164
13,1304,,12752
13,1305,,10146
13,1306,,17107
13,1307,,17635
13,1308,,15641
13,1309,,13918
13,1310,,6498
13,1311,,8780
13,1312,,10001
13,1313,,14607
13,1314,,8528
13,1315,,12360
14,1401,,4554
14,1402,,5762
14,1403,,5448
14,1404,,5981
14,1405,,3504
14,1406,,7899
14,1407,,6406
14,1408,,5219
18,1801,,162639
18,1802,,41141
18,1803,,13293
18,1804,,29978
18,1805,,49265
18,1806,,31666
18,1807,,9165
18,1808,,4059
18,1809,,13577
18,1810,,5429
18,1811,,4285
18,1812,,29013
18,1813,,37073
18,1814,,31086
18,1815,,22348
18,1816,,16264
19,1901,,49695
19,1902,,18111
19,1903,,4673
19,1904,,27577
19,1905,,15622
19,1906,,4158
19,1907,,15927
20,2001,,59201
20,2002,,17927
20,2003,,25619
20,2004,,27690
20,2005,,14805
20,2006,,13343
20,2007,,29248
27,2701,,72800
27,2702,,12383
27,2703,,9269
27,2704,,15043
